,,Station Code Index,,,,,
LUCKNOW,LJN/LKO ,MUALKHANG,MAKG,NEWMAL JN.,NMZ ,PULGAON,PLO ,
LUDHIANA,LDH ,MUDKHED,MUE ,NEW TINSUKIA,NTSK ,PUNE JN.,PUNE,
LUMDING,LMG ,MUMBAI CENTRAL,MMCT ,NIDADAVOLU,NDD ,PURANPUR,PPI,
LUNI,LUNI ,MUNA BAO,MBF ,NIDAMANGALAM,NMJ ,PURI,PURI,
MACHILIPATNAM,MTM ,MUNIGUDA,MNGD ,NIDUBROLU,NDO ,PURNA,PAU ,TAG-26
,,,,7,,,,
,Station Name,Code,Station Name,Code,Station Name,Code,Station Name,Code,
,PURNEA,PRNA ,SAHIBZADA AJIT SINGH NAGAR,SASN,SINGRAULI,SGRL ,TIRUPPUR,TUP ,
,PURULIA,PRR ,(MOHALI),,SINDHANUR,SNNR,TIRUR,TIR ,
,PURUNAKATAK,PUKK,SAI NAGAR SHIRDI,SNSI ,SIRPUR KAGAZNAGAR,SKZR ,TIRUVANNAMALAI,TNM ,
,RADHIKAPUR,RDP ,SAIRANG,SANG,SIRSA,SSA ,TITLAGARH,TIG ,
,RAE BARELI,RBL ,SALEM,SA,SISWA BAZAR,SBZ ,THRISUR,TCR,
,RAICHUR,RC ,SALEMPUR,SRU,SITAMARHI,SMI ,THIRUVANANTHAPURAM,TVC,
,RAIGARH,RIG ,SAMALKOT,SLO,SITAPUR CITY,SPC ,THIRUVANTHAPURAM NORTH,TVCN ,
,RAIPUR,R ,SAMSHABAD TOWN,SSDT ,SITAPUR CANTT.,SCC ,TUMAKURU,TK,
,RAJAHMUNDRY,RJY ,SAMASTIPUR,SPJ ,SIURI,SURI ,TUMSAR ROAD,TMR ,
,RAJA-KA-SAHASPUR,RJK ,SAMBALPUR,SBP ,SIWAN,SV ,TUNDLA,TDL ,
,RAJA-KI-MANDI,RKM ,SAMBALPUR CITY,SBPY ,SOGARIYA,SGAC ,TUNI,TUNI ,
,RAJENDRANAGAR,RJQ ,SAMDARI,SMR ,SOJAT ROAD,SOD ,TUTICORIN,TN ,
,RAJGIR,RGD ,SAMUKTALA ROAD,AMTA ,SOLAN,SOL ,UDAIPUR CITY,UDZ ,
,RAJKOT,RJT ,SANGLI,SLI ,SOLAPUR,SUR ,UDHNA,UDN ,
,RAJNANDGAON,RJN ,SANTRAGACHI,SRC ,SOMNATH,SMNH ,UDUPI,UD ,
,RAJPURA,RPJ ,SANT HIRDARAM NAGAR,SHRN ,SOMPETA,SPT ,UJJAIN,UJN ,
,RAMAGUNDAM,RDM ,SARNATH,SRNT ,SONPUR,SEE ,UNA HIMACHAL,UHL ,
,RAMANATHAPURAM,RMD ,SATARA,STR ,SRI DUNGARGARH,SDGH ,UNCHAHAR,UCR ,
,RAMESWARAM,RMM ,SATNA,STA ,SRINAGAR,SINA,UNNAO,ON ,
,RAMNAGAR,RMR ,SATTENAPALLE,SAP ,SRI GANGANAGAR,SGNR,USLAPUR,USL ,
,RAMPUR JN.,RMU ,SAWAIMADHOPUR,SWM ,SRIKAKULAM ROAD,CHE ,VADAKARA,BDJ ,
,RAMPURHAT,RPH ,SAWANTWADI ROAD,SWV ,SIR,M.VISVESVARAYA ,SMVB,VADNAGAR,VDG 
,RANAGHAT,RHA ,SEALDAH,SDAH ,"TERMINAL, BENGALURU",,VADODARA,BRC ,
,RANCHI,RNC ,SECUNDERABAD,SC ,SRI SATHYASAI PRASHANTI,SSPN ,VALSAD,BL ,
,RANGAPARA NORTH,RPAN ,SENGOTTAI,SCT ,NILAYAM,,VANCHI MANIYACHCHI JN.,MEJ ,
,RANGIYA,RNY ,SENSOA,SCF ,SUPAUL,SOU,VARANASI,BSB ,
,RANI KAMALAPATI,RKMP ,SEONI,SEY,SUJANGARH,SUJH ,VARETHA,VTDI ,
,RANINAGAR JALPAIGURI,ROJ ,SEWAGRAM,SEGM ,SULTANPUR,SLN ,VARKALA,VAK ,
,RATANGARH,RTGH ,SHAHABAD,SDB ,SURAT,ST ,VASAI ROAD,BSR ,
,RATLAM,RTM ,SHAHDOL,SDL,SURATGARH,SOG ,VASCO-DE-GAMA,VSG ,
,RATNAGIRI,RN ,SHAHGANJ,SHG ,SURATHKAL,SL ,VELANKANNI,VLKN ,
,RAWATGANJ,RJ ,SHAHJAHANPUR,SPN ,SURENDRA NAGAR,SUNR ,VELLORE CANTT,VLR ,
,RAXAUL,RXL ,SHAHPUR PATOREE,SPP ,TANAKPUR,TPU,VERAVAL,VRL ,
,RAYAGADA,RGDA ,SHAKTINAGAR,SKTN ,TADEPALLIGUDEM,TDD ,VIRANGANA LAKSHMIBAI JHANSI,VGLJ ,
,RENIGUNTA,RU ,SHALIMAR,SHM,TALGUPPA,TLGP,VIDISHA,BHS ,
,REWA,REWA ,SHAMGARH,SGZ ,TAMBARAM,TBM ,VIJAYAPURA,BJP ,
,REWARI,RE ,SHAMLI,SMQL ,TAPRI,TPZ,VIJAYAWADA,BZA ,
,RINGUS,RGS ,SHIKOHABAD,SKB ,TATANAGAR,TATA ,VILLUPURAM JN.,VM ,
,RISHIKESH,RKSH,SHIMLA,SML ,THALASSERY,TLY ,VIRAMGAM,VG ,
,ROHTAK,ROK ,SHIVAMOGGA TOWN,SMET ,TENALI,TEL ,VIRUDUNAGAR JN.,VPT ,
,ROORKEE,RK,SHIVPURI,SVPI ,TENKASI,TS ,VISAKHAPATNAM,VSKP ,
