country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","15-03-2026 11:00:00",24.75746,84.366208,NH3,1,2,2
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","15-03-2026 11:00:00",14.675886,77.593027,PM2.5,46,71,59
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","15-03-2026 11:00:00",13.204880,79.097889,NO2,36,44,39
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","15-03-2026 11:00:00",26.349082,92.68449,SO2,8,13,12
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","15-03-2026 11:00:00",26.446912,91.439057,SO2,2,9,8
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","15-03-2026 11:00:00",26.446912,91.439057,OZONE,3,18,16
India,Assam,Silchar,"Tarapur, Silchar - PCBA","15-03-2026 11:00:00",24.82827,92.79525,SO2,5,7,6
India,Assam,Silchar,"Tarapur, Silchar - PCBA","15-03-2026 11:00:00",24.82827,92.79525,OZONE,2,4,2
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","15-03-2026 11:00:00",28.656756,77.227234,OZONE,1,55,29
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","15-03-2026 11:00:00","28.615828 ","77.271992 ",PM10,84,288,176
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","15-03-2026 11:00:00","28.615828 ","77.271992 ",OZONE,4,77,12
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","15-03-2026 11:00:00",28.6514781,77.1473105,SO2,9,22,15
India,Delhi,Delhi,"DTU, Delhi - CPCB","15-03-2026 11:00:00",28.7500499,77.1112615,PM10,36,179,102
India,Delhi,Delhi,"DTU, Delhi - CPCB","15-03-2026 11:00:00",28.7500499,77.1112615,NO2,54,66,58
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","15-03-2026 11:00:00",28.5504249,77.2159377,PM2.5,47,339,154
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","15-03-2026 11:00:00",28.498571,77.264840,PM10,53,454,206
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","15-03-2026 11:00:00",28.5504249,77.2159377,OZONE,13,23,18
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","15-03-2026 11:00:00",28.498571,77.264840,SO2,10,35,20
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","15-03-2026 11:00:00",28.710508,77.249485,NO2,22,65,38
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","15-03-2026 11:00:00",28.710508,77.249485,NH3,5,7,6
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","15-03-2026 11:00:00",28.710508,77.249485,SO2,31,84,41
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","15-03-2026 11:00:00",28.5710274,77.0719006,PM10,66,355,196
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","15-03-2026 11:00:00",28.5710274,77.0719006,NO2,38,135,83
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","15-03-2026 11:00:00",28.5710274,77.0719006,SO2,25,46,31
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","15-03-2026 11:00:00",28.531346,77.190156,NO2,20,64,38
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","15-03-2026 11:00:00",28.5710274,77.0719006,OZONE,6,130,33
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","15-03-2026 11:00:00",28.5627763,77.1180053,PM10,51,259,156
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","15-03-2026 11:00:00",28.621810,77.1944633,PM2.5,29,345,127
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","15-03-2026 11:00:00","28.493624 ","77.201159 ",SO2,58,65,61
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","15-03-2026 11:00:00",28.672342,77.315260,PM2.5,40,365,190
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","15-03-2026 11:00:00",28.6811736,77.3025234,PM2.5,42,407,157
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","15-03-2026 11:00:00",25.599486,85.113666,OZONE,25,33,30
India,Bihar,Patna,"Samanpura, Patna - BSPCB","15-03-2026 11:00:00",25.596727,85.085624,NO2,33,65,45
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","15-03-2026 11:00:00","28.594169 ","77.125100 ",NO2,22,139,74
India,Bihar,Patna,"Samanpura, Patna - BSPCB","15-03-2026 11:00:00",25.596727,85.085624,CO,42,126,66
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","15-03-2026 11:00:00",28.656756,77.227234,PM2.5,76,398,194
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","15-03-2026 11:00:00",25.366336,87.117468,NO2,5,7,6
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","15-03-2026 11:00:00",25.366336,87.117468,SO2,11,21,18
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","15-03-2026 11:00:00","28.615828 ","77.271992 ",PM2.5,40,329,158
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","15-03-2026 11:00:00","28.615828 ","77.271992 ",PM10,84,288,176
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","15-03-2026 11:00:00",25.03280,85.41948,PM10,26,81,50
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","15-03-2026 11:00:00","28.615828 ","77.271992 ",NO2,40,87,57
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","15-03-2026 11:00:00",25.03280,85.41948,SO2,2,3,3
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","15-03-2026 11:00:00","28.615828 ","77.271992 ",CO,67,116,96
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","15-03-2026 11:00:00",25.03280,85.41948,CO,36,46,40
India,Delhi,Delhi,"DTU, Delhi - CPCB","15-03-2026 11:00:00",28.7500499,77.1112615,PM2.5,33,312,136
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","15-03-2026 11:00:00",25.892357,86.590325,OZONE,1,22,9
India,Delhi,Delhi,"DTU, Delhi - CPCB","15-03-2026 11:00:00",28.7500499,77.1112615,CO,8,50,33
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","15-03-2026 11:00:00",25.859655,85.77944,NO2,8,9,8
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","15-03-2026 11:00:00",28.498571,77.264840,NO2,14,99,56
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","15-03-2026 11:00:00",28.498571,77.264840,NH3,5,7,6
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","15-03-2026 11:00:00",24.952822,84.002396,PM2.5,22,118,49
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","15-03-2026 11:00:00",24.952822,84.002396,NH3,2,7,4
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","15-03-2026 11:00:00",26.1403345,85.3650192,CO,50,62,55
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","15-03-2026 11:00:00",26.1403345,85.3650192,OZONE,8,62,9
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","15-03-2026 11:00:00",26.1209,85.3647,SO2,4,8,6
