Howrah Exp,12348,Rampurhat,Howrah,14A,Humsafar Exp,22867/22868,Durg,H. Nizamuddin,"32,81",
Howrah Exp,12352,Rajendra Nagar (T),Howrah,1,Humsafar Exp,22887/22888,Howrah,SMVT Bengaluru,29,
Howrah Exp,12354,Lalkuan,Howrah,"12,55",Humsafar Exp,22913/22914,Bandra (T),Saharsa,"22,24",
Howrah Exp,12371/12372,Bikaner,Howrah,"12A,25,59",Humsafar Exp,22919/22920,MGR Chennai,Ahmedabad,"10,31",
Howrah Exp,12664,Tiruchchirappalli,Howrah,"21A,29A",,,Central,,,
Howrah Exp,12666,Kanniyakumari,Howrah,"21A,29A",Humsafar Exp,20821/20822,Santraaanchi,Pune,5,
Howrah Exp,12840,Chennai,Howrah,7,Humsafar Exp,20481/20482,Bhagat Ki Kothi,Tiruchchirappalli,"8,28",
Howrah Exp,12833,Ahmedabad,Howrah,34,Humsafar Exp,20827/20828,Jabalpur,Santraaanchi,"5,43",
Howrah Exp,12838,Puri,Howrah,7A,Humsafar Exp,22437/22438,Prayagraj,Anand Vihar (T),1,
Howrah Exp,12864,SMVT Bengaluru,Howrah,29A,Humsafar Exp,20915/20916,Indore,Lingampalli,"3,10",
Howrah Exp,12868,Puducherry,Howrah,"7A,21A",Humsafar Exp,20917/20918,Indore,Puri,"5,8,78",
Howrah Exp,12869,Chhatrapati Shivaji,Howrah,5A,Humsafar Exp,20923/20924,Gandhidham,Tirunelveli,26,
,,Maharaj (T),,,Humsafar Exp,20497/20498,Rameshwaram,Firozpur,"8,21,54,77",
Howrah Exp,13024,Gaya,Howrah,1,Humsafar Exp,12275/12276,Prayagraj,New Delhi,1,
Howrah Exp,13026,Bhopal,Howrah,73,Humsafar Exp,22923/22924,Bandra (T),Jamnagar,11,
Howrah Exp,13030,Mokameh Junction,Howrah,1,Hundri Exp,17027/17028,Hyderabad,Kurnool City,52,
Howrah Exp,13032,Jayanagar,Howrah,37,Hussain Sagar Exp,12701/12702,Chhatrapati Shivaji,Hyderabad,10,
Howrah Exp,13034,Katihar,Howrah,14A,,,Maharaj (T),,,
Howrah Exp,13044,Raxaul,Howrah,37,Hutatma Exp,12157/12158,Pune,SolaPur,10,
Howrah Exp,13052,Siliguri,Howrah,92,Hvderabad Exp,17255,Narsapur,Lingampalli,30,
Howrah Exp,13064,Balurghat,Howrah,14A,Hyderabad Exp,12603,MGR Chennai,Charallpalli,71,
Howrah Exp,13072,Jamalpur,Howrah,1,,,Central,,,
Howrah Exp,15236,Darbhanga,Howrah,37A,Hyderabad Exp,12719,Jaipur,Hyderabad,"9,54,53",
Howrah Exp,15712,Katihar,Howrah,14A,Hyderabad Exp,17004,Sri Chhatrapathi,Hyderabad,"71,49,19",
Howrah Exp,18006,Jagdalpur,Howrah,"5A,40A",,,Shahu Maharaj (T),,,
Howrah Exp,22818,Mysuru,Howrah,"7A,20A",Hyderabad Exp,17006,Raxaul,Hyderabad,"9,42A,3,6A,37",
Howrah Exp,22831/22832,Yeshwantpur,Howrah,"49,7A",Hyderabad Exp,17013,Hadapsar,Hyderabad,53,
Howrah Exp,22864,SMVT Bengaluru,Howrah,20,Hyderabad Exp,17019,Hisar,Hyderabad,"9,54,53,77",
Howrah Exp,22893,Sai Nagar Shirdi,Howrah,5A,Hyderabad Exp,17022,Vasco-da- Gama,Hyderabad,53,
Howrah Link Exp,22905,Okha,Howrah,34,Hyderabad Exp,17029,Vijaypura,Hyderabad,10,
Howrah Mail,12809,Chhatrapati Shivaji,Howrah,5A,Hyderabad Exp,22732,Chhatrapati Shivaji,Hyderabad,10,
,,Maharaj (T),,,,,Maharaj (T),,,
SSS Hubballi Exp,17314,MGR Chennai,SSS Hubballi,"60,71",Indore Exp,11126,Gwalior,Indore,33A,
,,Central,,,Indore Exp,22192,Jabalpur,Indore,43,
SSS Hubballi Exp,20658,H.Nizamuddin,SSS Hubballi,"9,19",Indore Exp,12416,New Delhi,Indore,3,
SSS Hubballi Exp,16213,Arsikere,SSS Hubballi,19A,Indore Exp,12924,Nagpur,Indore,8A,TAG-26
,,,,,33,,,,,
,Train ,Train,From,To,Table,Train ,Train,From,To,Table
,Name,No,Station,Station,No.,Name,No,Station,Station,No.
,Indore Exp,12974,Jaipur,Indore,3,Intercity Exp,15815/15816,Guwahati,Dekaraaon,62
,Indore Exp,14318,Dehradun,Indore,"4A,75A",Intercity Exp,15817/15818,Shokhuvi,Naharlagun,62
,Indore Exp,14320,Bareilly,Indore,"2,4A,55A",Intercity Exp,16205/16206,Talguppa,Mysuru,19
,Indore Exp,14801,Jodhpur,Indore,"23,23A",Intercity Exp,16305/16306,Ernakulam,Kannur,85
,Indore Exp,19302,Yesvantpur,Indore,"52,53,8",Intercity Exp,17009/17010,Bidar,Hyderabad,53
,Indore Exp,19306,Kamkhya,Dr. Ambedkar,"18,35,74A",Intercity Exp,17011/17012,Hyderabad,Sirpur Khagaznagar,9
,,,,Nagar,Intercity Exp,19119/19120,Gandhi Nagar,Somnath,"11,76",
,Indore Exp,19308,Una Himachal,Indore,"4A,15A",,Capital,,,
,Indore Exp,19311,Pune,Indore,"3A,91",Intercity Exp,19323/19324,Dr. Ambedkar,Bhopal,43
,Indore Exp,19314,Rajendra Nagar,Indore,35,,Nagar,,,
,Indore Exp,19322,Rajendra Nagar,Indore,35,Intercity Exp,19735/19736,Jaipur,Sikar,77
,Indore Exp,19326,Amritsar,Indore,4A,Intercity Exp,20651/20652,KSR Bengaluru,Talguppa,19
,Indore Exp,20931,Thiruvanthapuram,Indore,"3A,26A",Intercity Exp,22329/22330,Haldia,Asansol,87
,,,North,,Intercity Exp,22983/22981,Indore,Kota,72,
,Indore Exp,19335,Gandhidham,Indore,"11A,3A",Intercity Exp,22187/22188,Rani Kamalapati,Jabalpur,43
,Indore Exp,21126,Bhind,Ratlam,33A,Intercity Exp,22441/22442,Kanpur Central,Chitrakoot Dham,1
,Indore Exp,22942,JammuTawi,Indore,"3,16A",,,Karvi,,
,Indore Exp,22943,Daund,Indore,"3A,31A",Intercity Exp,22617/22618,SMVT Bengaluru,Tirupati,20
,,,,,,,,Thiruvananthapuram,,
,Intercity Exp,11701/11702,Jabalpur,Raipur,58,Intercity Exp,22627/22628,Tiruchchirappalli,21,
,Intercity Exp,14679/14680,Delhi,Amritsar,15,Intercity Exp,22819/22820,Bhubaneswar New,Visakhapatnam,30
,Intercity Exp,14681/14682,Delhi,Jalandhar,16,Intercity Exp,22839/22840,Rourkela,Bhubaneswar,78
,Intercity Exp,11109/11110,Veerangana,Lucknow,35,Intercity Exp,22891/22892,Howrah,Ranchi,87
,,,Laxmibai,,Intercity Link Exp,23225/23226,Saharsa,Danapur,90,
,Intercity Exp,22189/22190,Jabalpur,Rewa,43,Jabalpur Exp,11266,Ambikapur,Jabalpur,"43A,81"
,Intercity Exp,22485/22486,New Delhi,Firozpur,"15,16",Jabalpur Exp,11450,Shri Mata Vaishno,Jabalpur,"16A,56"
,Intercity Exp,12893/12894,Purunakatak,Bhubaneswar,"40A,78",,Devi Katra,,,
,Intercity Exp,12119/12120,Amravati,Ajni,5,Jabalpur Exp,11463,Somnath,Jabalpur,"33,34,43,76"
,Intercity Exp,12127/12128,Chhatrapati Shivaji,Pune,19,Jabalpur Exp,11465,Somnath,Jabalpur,"33,34,43,76"
,,,Maharaj (T),,Jabalpur Exp,12159,Amravati,Jabalpur,"5A,17A",
,Intercity Exp,12179/12180,Lucknow,Agra Fort,33,Jabalpur Exp,12191,H. Nizamuddin,Jabalpur,56
,Intercity Exp,12195/12196,Agra Fort,Ajmer,23,JabalPur Exp,12193,Yesvantpur,Jabalpur,"9A,17A,52A"
,Intercity Exp,12197/12198,Bhopal,Gwalior,4,Jabalpur Exp,15717,Manduadih,Jabalpur,6A
,Intercity Exp,12363/12364,Kolkata,Haldibari,14,Jabalpur Exp,22182,H. Nizamuddin,Jabalpur,56
,Intercity Exp,12383/12384,Sealdah,Asansol,37,Jabalpur Exp,22191,Indore,Jabalpur,43
,Intercity Exp,12411/12412,Chandigarh,Amristar,15,Jagdalpur Exp,18005,Howrah,Jagdalpur,"5,40"
,Intercity Exp,12679/12680,MGR Chennai,Coimbatore,86,Jagdalpur Exp,18107,Rourkela,Jagdalpur,40
,,,Central,,Jaipur Exp,22175,Nagpur,Jaipur,"8A,72",
,Intercity Exp,12705/12706,Guntur,Secunderabad,71,Jaipur Exp,19712,Bhopal,Jaipur,"43,54"
,Intercity Exp,12795/12796,Vijayawada,Lingampalli,30,Jaipur Exp,12939,Pune,Jaipur,"31,31A"
,Intercity Exp,12827/12828,Howrah,Purulia,87,Jaipur Exp,12955,Mumbai Central,Jaipur,3A
,Intercity Exp,12885/12886,Shalimar,Bhojudih,87,Jaipur Exp,12967,MGR Chennai,Jaipur,"3A,8A"
,Intercity Exp,13235/13236,Sahibganj,Danapur,93,,Central,,,
,Intercity Exp,13243/13244,Patna,Dehri On Sone,48,Jaipur Exp,129693,Coimbatore,Jaipur,"3A,8A,86A"
,Intercity Exp,13249/13250,Patna,Bhabhua Road,24,Jaipur Exp,12973,Indore,Jaipur,3A
,Intercity Exp,13303/13304,Dhanbad,Ranchi,36,Jaipur Exp,12975,Mysuru,Jaipur,"3A,9A,52"
,Intercity Exp,13305/13306,Dhanbad,Gaya,1,Jaipur Exp,12979,Bandra (T),Jaipur,3A
,Intercity Exp,13345/13346,Singrauli,Banaras,25,Jaipur Exp,12991,Udaipur City,Jaipur,54
,Intercity Exp,13401/13402,Bhagalpur,Danapur,93,Jaipur Exp,17020,Hyderabad,Hisar,"9,54,53,77"
,Intercity Exp,13409/13410,Malda Town,Kiul,93,Jaipur Exp,19573,Okha,Jaipur,"11,23"
,Intercity Exp,13503/13504,Sealdah,Asansol,37,Jaipur Exp,19712,Bhopal,Jaipur,"23,43,54"
,Intercity Exp,24203/24204,Varanasi,Lucknow,25,Jaipur Exp,19714,Kacheguda,Jaipur,"3,8,53"
,Intercity Exp,14213/14214,Varanasi,Bahraich,81,Jaipur Exp,19716,Lucknow,Jaipur,79
,Intercity Exp,14315/14316,Bareilly,New Delhi,55,Jaipur Exp,20667,Yeshwantpur,Jaipur,"19, 54"
,Intercity Exp,14525/14526,Ambala Cantt.,Sri GangaNagar,45,Jaipur Exp,22933,Bandra (T),Jaipur,3
,Intercity Exp,14605,Haridwar,Jammu Tawi,12,Jaipur Exp,19807,Kota,Sirsa,3
,Intercity Exp,14815/14816,Sri Ganganagar,Rishikesh,45,Jaipur Exp,12720,Hyderabad,Jaipur,"9A,53A,54A"
,Intercity Exp,15105/15106,Chhapra,Nautanwa,38,Bikaner Exp,12371,Howrah,Bikaner,"12,25A,59"
,Intercity Exp,15105/15106,Chhapra,Nautanwa,22,Jaisalmer Exp,14704,Lalgarh,Jaisalmer,59
,Intercity Exp,15111/15112,Chhapra,Banaras City,"63,37",Jaisalmer Exp,22931,Bandra (T),Jaisalmer,"11,23A"
,Intercity Exp,15201/15202,Patliputra,Bagha,64,Jallianwallahbagh Exp.,12379/12380,Sealdah,Amritsar,"1,15"
,Intercity Exp,15549/15550,Jaynagar,Patna,90,Jallianwallahbagh Exp.,18103/18104,Tatanagar,Amritsar,"12,41"
,Intercity Exp,15603/15604,Guwahati,Ledo,66,JamalPur Exp,13071,Howrah,JamalPur,1A
,Intercity Exp,15613/15614,Guwahati,Markonaselek,62,Jammu Mail,20433/,Subedarganj,Shri Mata Vaishno,16
TAG-26,Intercity Exp,15719/15720,Katihar,Siliguri,93,20434,,Devi Katra,,
,Intercity Exp,15765/15766,Siliauriin,Dhubri,74,Jammu Tawi Exp,12469,Kanpur Central,Jammu Tawi,12
,,,,,34,,,,,
Train ,Train,From,To,Table,Train ,Train,From,To,Table,
Name,No,Station,Station,No.,Name,No,Station,Station,No.,
Jammu Tawi Exp,12549,Durg,Martyr Captain,"81,32,16",Jharkhand Sampark,12825/12826,Ranchi,Anand Vihar (T),41,
,,,Tushar Mahajan,,Kranti Exp,,,,,
Jammu Tawi Exp,13151,Kolkata,Jammu Tawi,12,Jharkhand Swarna,12817/12818,Hatia,Anand Vihar (T),41,
Jammu Tawi Exp,14609,Haridwar,Jammu Tawi,12,Jayanti Exp,,,,,
Jammu Tawi Exp,15097,Bhagalpur,Jammu Tawi,13,Jharkhand Swarna,12873/1287,Hatia,Anand Vihar (T),41,
Jammu Tawi Exp,18101,Tatanagar,Jammu Tawi,41,Jayanti Exp,,,,,
Jammu Tawi Exp,20847,Durg,Jammu Tawi,"4,32,81",Jhelum Exp,11077/11078,Pune,Jammu Tawi,"4,16",
Jammu Tawi Exp,19223,Gandhi Nagar,Jammu Tawi,"23A,45",Jnaneswari Exp,12101/12102,Lokmanya Tilak (T),Shalimar,5,
,,Capital,,,Jodhpur Exp,16534,Bengaluru,Jodhpur,"11,19A,23A,60",
Jammu Tawi Exp,14803,Jodhpur,Jammu Tawi,51,Jodhpur Exp,12307,Howrah,Jodhpur,"23,65",
Jamnagar Exp,12478,Shri Mata Vaishno,Jamnagar,"3A,16A",Jodhpur Exp,14802,Indore,Jodhpur,54,
,,Devi Katra,,,Jodhpur Exp,20813,Puri,Jodhpur,"3A,5,23,42A,78A",
Jamnagar Exp,19060,Surat,Jamnagar,11,Jodhpur Exp,22482,Delhi Sarai Rohilla,Jodhpur,59,
Jamnagar Exp,19577,Tirunelveli,Jamnagar,26,Jodhpur Exp,22663,Chennai Egmore,Jodhpur,"23A,46",
Jangipur Road Memu,13177,Sealdah,Jangipur Road,14,Jodhpur SF Exp,20694,Bengaluru,Jodhpur,"11,19A,23A",
Exp,,,,,Jodhpur Hadapsar Exp,20495/20496,Hadapsar,Jodhpur,"23, 31",
Jan Nayak Exp,15211/15212,Darbhanga,Amritsar,"13,22,64",Jogbani Exp,13159,Kolkata,Jogbani,14,
Jansadharan Exp,22423/22424,Gorakhpur,Amritsar,13,Joginder Nagar Passr.,52471,Pathankot,Joginder Nagar,96,
Jan Sadharan Exp,13257/13258,Danapur,Anand Vihar (T),1,Joginder Nagar Passr.,52473,Pathankot,Joginder Nagar,96,
Jan Sadharan Exp,14603/14604,Narpatganj,Amritsar,13,Jolarpet Exp,16085,Arakkonam,Jolarpet,20,
Jan Sadharan Exp,15269/15270,Muzaffarpur,Ahmedabad,"22,23,33",Jolarpet Exp,16520,KSR Bengaluru,Jolarpet,20A,
Jan Sadharan Exp,15271/15272,Howrah,Muzaffarpur,37,Joyride,52591/52590,Ghum,Darjeeling,95,
Jan Sadharan Exp,15529/15530,Saharsa,Anand Vihar (T),"13,64,22",Joyride,52594,Ghum,Darjeeling,95,
Jan Sadharan Exp,15531/15532,Saharsa,Amritsar,13,Joyride,52596,Ghum,Darjeeling,95,
Jan Sewa Exp,13419/13420,Bhagalpur,Muzaffarpur,50,Joyride,52597/52598,Ghum,Darjeeling,95,
Jan Sewa Exp,14617/14618,Purnea Court,Amritsar,"13,22",Joyride,52599,Ghum,Darjeeling,95,
Jan Shatabdi Exp,12021/12022,Howrah,BarabiI,87,Jwalamukhi Road Passr.,52461,Pathankot,Jwalamukhi Road,96,
Jan Shatabdi Exp,12023/12024,Howrah,Patna,1,Kacheguda Exp,12786,Ashokapuram,Kacheguda,52,
Jan Shatabdi Exp,12053/12054,Haridwar,Amritsar,12,Kacheguda Exp,16354,Nagercoil,Kacheguda,"52,70",
Jan Shatabdi Exp,12055/12056,New Delhi,Dehradun,75,Kacheguda Exp,17604,Yelhanka,Kacheguda,52,
Jan Shatabdi Exp,12057/12058,New Delhi,Daulatpur Chowk,27,Kacheguda Exp,12790,Murudeshwar,Kacheguda,"86A,71",
Jan Shatabdi Exp,12059/12060,Kota,H. Nizamuddin,3,Kacheguda Exp,22716,Madurai,Kacheguda,"52,70",
Jan Shatabdi Exp,12061/12062,Rani Kamalapati,Madan Mahal,43,Kacheguda Exp,17640,Akola,Kacheguda,53A,
Jan Shatabdi Exp,12065/12066,Ajmer,Delhi Sarai Rohilla,23,Kacheguda Exp,17651,Chengalpattu,Kacheguda,71,
Jan Shatabdi Exp,12067/12068,Guwahati,Jorhat Town,66,Kacheguda Exp,17652/17653,Puducherry,Kacheguda,71,
Jan Shatabdi Exp,12069/12070,Raigarh,Gondia,5,Kacheguda Exp,17605/17606,Bhagat Ki Kothi,Kacheguda,"2, 23, 53, 54",
Jan Shatabdi Exp,12071/12072,Dadar,Hingoli Deccan,53,Kaifiat Exp,12225/12226,Azamgarh,Delhi,25,
Jan Shatabdi Exp,12073/12074,Howrah,Bhubaneswar,7,Kakinada Exp,17222,Lokmanya Tilak (T),Kakinada,"10,30A",
Jan Shatabdi Exp,12075/12076,Kozhikode,T hiruvananthapuram,85,Kakinada Town Exp.,12756,Bhavnagar,Kakinada Town,"10,11A,30A,76",
Jan Shatabdi Exp,12077/12078,MGR Chennai,Viiayawada,71,Kakinada Town Exp.,17205,Sri Sai Nagar Shirdi,Kakinada Town,"30,53",
,,Central,,,Kalindi Exp,14117/14118,Prayagraj,Bhiwani,"25,39",
Jan Shatabdi Exp,12080/12079,SSS Hubballi,KSR Bengaluru,19,Kalka Exp,14504,Shri Mata Vaishno,Kalka,"2A,16A,27",
Jan Shatabdi Exp,12081/12082,Kannur,Thiruvananthapuram,85,,,Devi Katra,,,
Jan Shatabdi Exp,12083/12084,Mayiladuturai,Coimbatore,69,Kalka Exp,22455,Sai Nagar Shirdi,Kalka,"16A,27",
Jan Shatabdi Exp,12089/12090,KSR Bengaluru,Shivamogga Town,19,Kalka Exp,52456,Shimla,Kalka,94,
Jan Shatabdi Exp,12091/12092,Kathgodam,Dehradun,"13,53",Kalka Exp,52458,Shimla,Kalka,94,
Jan Shatabdi Exp,12097/12098,Agartala,Khongsong,83,Kalka Mail,52454,Shimla,Kalka,94,
Jan Shatabdi Exp,12365/12366,Patna,Ranchi,36,Kamakhya Exp,15619,Gaya,Kamakhya,93,
Jan Shatabdi Exp,15125/15126,Madhuadih,Patna,17,Kamakhya Exp,15622,Anand Vihar (T),Kamakhya,"13,18,74",
Janhit Exp,13205/13206,Patliputra,Purnea Court,90,Kamakhya Exp,15623,Bhagat Ki Kothi,Kamakhya,"18,59",
Janki Exp,15283/15284,Katihar,Jaynagar,90,Kamakhya Exp,15643,Puri,Kamakhya,"14,74",
Janmabhoomi Exp,12805/12806,Visakhapatnam,Lingampalli,"7,71",Kamakhya Exp,15656,Shri Mata Vaishno,Kamakhya,"13A,64",
Janmabhoomi Exp,19107/19108,Bhavnagar,Martyr Captain,"11,45",,,Devi Katra,,,
,,,Tushar Mahajan,,Kamakhya Exp,15661,Ranchi,Kamakhya,"73,29A,74",
Jasidih Exp,12375,Tambaram,Jasidih,40,Kamakhya Exp,15667,Gandhidham,Kamakhya,"3A,11A,18,33",
Jasidih Exp,17321,Vaso-D-Gamma,Jasidih,36,Kamayani Exp,11071/11072,Lokmanya Tilak (T),Ballia,6,
Jasidih Exp,22305,SMVT Bengaluru,Jasidih,"1,40",Kamlaganga Exp,15527/15528,Jayanagar,Patna,90,
Jaynagar Exp,13031,Howrah,Jaynagar,37,Kamrup Exp,15959/15960,Howrah,Dibrugarh,"14,66",
Jaynagar-Ara Exp,13225/13226,Jaynagar,Ara,90,Kamrup Exp,15961/15962,Howrah,Dibrugarh,"14,66",
Jaynagar Exp,13135,Kolkata,Jaynagar,37,Kanchan Kanya Exp.,13149/13150,Sealdah,Alipurduar Jn.,"14,74",
Jaynagar Exp,18105,Rourkela,Jaynagar,"36,37",Kanchenjunga Exp.,13173/13174,Sealdah,Sabroom,"14,83",
Jaynagar Exp,18419,Puri,Jaynagar,"32,37A",Kanchenjunga Exp.,13175/13176,Sealdah,Silchar,"14,83",
Jaynagar Exp,18119/18120,Tatanagar,Jaynagar,"37,37A",Kandari Exp,22897/22898,Howrah,Digha,87,
Jhansi Exp,22196,Bandra (T),Virangana Laxmibai,4,Kanniyakumari Exp.,12633,Chennai Egmore,Kanniyakumari,21,
,,,,,Kanniyakumari Exp.,12665,Howrah,Kanniyakumari,"21,29",TAG-26
,,,,,35,,,,,
,Train ,Train,From,To,Table,Train ,Train,From,To,Table
,Name,No,Station,Station,No.,Name,No,Station,Station,No.
,Kanniyakumari Exp,12689,Nagercoil,MGR Chennai,"69,86",Kochuveli Exp,22647,Korba,Thiruvanthapuram,"8,42,86"
,,,,Central,,,,North,,
,Kanniyakumari Exp.,16526,KSR Bengaluru,Kanniyakumari,86,Thiruvanthapuram,12484,Amritsar,Thiruvanthapuram,"3,26,15A"
,Kanniyakumari Exp.,16861,Puducherry,Kanniyakumari,21,North Exp,,North,,
,Kanniyakumari Exp.,22621,Rameshwaram,Kanniyakumari,21,Thiruvanthapuram,12777,SSS Hubballi,Thiruvanthapuram,"19,86"
,Kannur Exp,16307,Alappuzha,Kannur,85,North Exp,,North,,
,Kannur Exp,16313,Ernakulam Jn,Kannur,85,Thiruvanthapuram,16311,Sri GangaNagar,Thiruvanthapuram,"39,23,26"
,Kannur Exp,16527,Yesvantpur,Kannur,86,North Exp,,North,,
,Kannur Exp,16511,KSR Bengaluru,Kannur,"19,20",Thiruvanthapuram,16315,Mysuru,Thiruvanthapuram,86
,Kanpur Exp,12470,Jammu Tawi,Kanpur Central,12A,North Exp,,North,,
,Kanpur Exp,14101,Prayagraj Sangam,Kanpur Central,1A,Thiruvanthapuram,19260,Bhavnagar,Thiruvanthapuram,"26,76"
,,,,,North Exp,,,North,,
,Kanpur Exp,14109,Chitrakootdham,Kanpur Central,57,,,,,
,,,Karvi,,Thiruvanthapuram,20910,Porbandar,Thiruvanthapuram,"11A,26",
,,,,,North Exp,,,North,,
,Kanpur Exp,14123,Maa Belha Devi,Kanpur Central,25A,,,,,
,,,Dham Pratapgarh,,Thiruvanthapuram,20932,Indore,Thiruvanthapuram,"3,26",
,,,,,North Exp,,,North,,
,Kanpur Exp,14152,Anand Vihar (T),Kanpur Central,25,,,,,
,,,,,Thiruvanthapuram,22113,Lokmanya Tilak (T),Thiruvanthapuram,26,
,Kanpur Exp,15038,Kasganj,Kanpur Anwarganj,82,,,,,
,,,,,North Exp,,,North,,
,Kanpur Exp,22444,Bandra (T),Kanpur Central,"3A,82",,,,,
,,,,,Thiruvanthapuram,22660,Yog Nagari,Thiruvanthapuram,"3,26,75A",
,Kanpur Exp,22446,Amritsar,Kanpur Central,12,,,,,
,,,,,North Exp,,Rishikesh,North,,
,Kaghaz Nagar Exp,12757/12758,Secunderabad,Sirpur Kaghaz,9,,,,,
,,,,,Kolkata Exp,12320,Gawalior,Kolkata,65,
,,,,Nagar,,,,,,
,,,,,Kolkata Exp,12326,Nangaldam,Kolkata,12A,
,Karaikal Exp,11017,Lokmanya Tilak (T),Karaikal,"10,21",,,,,
,,,,,Kolkata Exp,13118,Lalgola,Kolkata,14A,
,Karaikal Exp,16175,Chennai Egmore,Karaikal,21,,,,,
,Karaikal Exp,16188,Ernakulam Jn,Karaikal,86A,Kolkata Exp,13122,Ghazipur City,Kolkata,"1,22"
,Karaikal Exp,16529/16530,SMVT Bengaluru,Karaikal,69,Kolkata Exp,13126,Sairang,Kolkata,"83A,14A"
,Karatagi Exp,16545/16546,Yesvantpur,Sindhanur,60,Kolkata Exp,13136,Jaynagar,Kolkata,37
,Karimnagar Exp,12761,Tirupati,Karimnagar,71,Kolkata Exp,13138,Azamgarh,Kolkata,37
,Karmabhoomi Exp,12407/12408,New Jalpaiguri,Amritsar,13,Kolkata Exp,13152,Jammu Tawi,Kolkata,12A
,Karmabhoomi Exp,12545/12546,Raxaul,Lokmanya Tilak (T),"24,90",Kolkata Exp,13160,Jogbani,Kolkata,14A
,Karmabhoomi Exp,22511/22512,Kamakhya,Lokmanya Tilak (T),"5,14,74",Kolkata Exp,13166,Sitamarhi,Kolkata,37
,Karnataka Sampark,12627/12628,KSR Bengaluru,New Delhi,9,Kolkata Exp,13168,Agra,Kolkata,"12A,65"
,Karnataka Sampark,12629/12630,Yesvantpur,H. Nizamuddin,"9,19",Kolkata Exp,15050,Gorakhpur,Kolkata,"37,63"
,Karnataka Sampark,12649/12650,Yesvantpur,H. Nizamuddin,"9,52",Kolkata Exp,15052,Gorakhpur,Kolkata,"37,64"
,Karnavati Exp,12933/12934,Mumbai Central,Ahmedabad,11,Kolkata Exp,15234,Darbhanga,Kolkata,37A
,Karwar Exp,16515,Yesvantpur,Karwar,26A,Kolkata Exp,19413,Ahmedabad,Kolkata,"43,73,54"
,Kasgani Exp,15037,Kanpur Anwarganj,Kasganj,82,Kolkata Exp,19608,Madar,Kolkata,"73,72"
,Kasgani Exp,15041,Farrukhabad,Kasganj,82,,,,,
,,,,,Kollam Exp,16101,Channai Egmore,Kollam,21,
,Kasganj Exp,15039,Farrukhabad,Kasganj,82,,,,,
,,,,,Kollam Exp,18567,Visakhapatnam,Kollam,"29,86",
,Kashi Exp,15017/15018,Lokmanya Tilak (T),Gorakhpur,"6,63",,,,,
,,,,,Konark Exp,11019/11020,Chhatrapati Shivaji,Bhubaneswar New,"10,30",
,Kashi Tamil Sangam,16367/16368,Kanniyakumari,Banaras,69,,,,,
,,,,,,,Maharaj (T),,,
,Kashi Vishwanath Exp.,15127/15128,Banaras,New Delhi,25,,,,,
,,,,,Konau Exp,12647/12648,Coimbatore,H. Nizamuddin,"9,52,86",
,Kathgodam Exp,14120,Dehradun,Kathgodam,"13A,55",,,,,
,,,,,Kondaveedu Exp,17211/17212,Machilipatnam,Yesvantpur,49,
,Kathgodam Exp,15043,Lucknow,Kathgodam,22A,,,,,
,,,,,Konkan Kanya Exp,20111/20112,Chhatrapati Shivaji,Madaaon,26,
,Katihar Exp,13033,Howrah,Katihar,14,,,,,
,,,,,,,Maharaj (T),,,
,Katihar Exp,15708,Amritsar,Katihar,"15A,22",,,,,
,,,,,Koraput Exp,18512,Visakhapatnam,Koraput,40A,
,Katihar Exp,15711,Howrah,Katihar,14,,,,,
,,,,,Korba Exp,18518,VisakhaPatnam,Korba,42A,
,Katra Exp,15655,Kamakhya,Shri Mata Vaishno,"13,18,64",,,,,
,,,,,Korba Exp,18239/18240,NSCB Itwarri,Korba,"5,42",
,,,,Devi Katra,,,,,,
,,,,,Korba Exp,22648,Thiruvanthapuram,Korba,"8A,42,86A",
,Katra Exp,28181,Tatanagar,Katihar,37,,,,,
,,,,,,,North,,,
,Kaveri Exp,16022/16021,Ashokapuram,MGR Chennai,20,,,,,
,,,,,Kota Exp,13237,Patna,Kota,79,
,,,,Central,,,,,,
,,,,,Kota Exp,13239,Patna,Kota,79,
,Kavi Guru Exp,12949/12950,Porbandar,Santragachi,"34,87",,,,,
,,,,,Kota Exp,19804,Sri Mata,Kota,"3,16A",
,Kavi Guru Exp,13015/13016,Howrah,Jamalpur,14,,,,,
,,,,,,,Vaishnodevi Katra,,,
,Kavi Guru Exp,13027/13028,Howrah,Azimgarh,14,,,,,
,,,,,Kota Exp,20986,Martyr Captain,Kota,"3,16A",
,Kavi Guru Exp,19615/19616,Udaipur City,Kamakhya,"13A,13,54,79",,Tushar Mahajan,,,
,Kaziranga Exp,13181/13182,Kolkatta,Silghat Town,"14,74",Kota Exp,22982,Sri Ganga Nagar,Kota,28
,Kerala Exp,12625/12626,Thiruvananthapuram,New Delhi,"8,86",Kota Exp,19808,Sirsa,Kota,3
,Kerala Samoark Kranti,12217/12218,Thiruvanthapuram,Chandigarh,"3,26,27",Ernakulam Exp,22149/22150,Pune,Ernakulam Jn,"26,91"
,Exp.,,North,,Kotdwara Exp,14090/14089,Kotdwara,Anand Vihar (T),75,
,Khajuraho Exp,19666,Udaipur City,Khajuraho,"23A,54A,79,54",Kovai Exp,12675/12676,MGR Chennai,Coimbatore,86
,Khandesh Exp,19003/19004,Bandra (T),Bhusawal,24,,Central,,,
