,,,,,Capital Exp,13245/13246,New Jalpaiguri,Ara,18,
Bhavnagar Exp,19259/19260,Thiruvanthapuram,Bhavnagar,"26A,76",,,,,,
,,,,,Chalukya Exp,11021/11022,Dadar,Tirunelveli,"19,69",
,,North,,,,,,,,
,,,,,Chamarajanagar Exp,16219/16220,Tirupati,Chamarajanagar,20,
Bhayagnagar Exp,17233/17234,Secunderabad,Sirpur,9,,,,,,
,,,,,Chambal Exp,12175/12176,Howrah,Gwalior,65,
,,,Kaghazanager,,,,,,,
,,,,,Chambal Exp,12177/12178,Howrah,Mathura,65,
,,,Bhayagnagar Exp,,,,,,,
,,,,,Chambal Exp,20975/20976,Howrah,Agra Cantt,65,
Bhilad Exp,22929/22930,Vadodara,Dahanuroad,11A,,,,,,
,,,,,Champaran Humsafar,15705/15706,Katihar,Delhi,"22,38,64,90",
Bhind Exp,21125/21126,Ratlam,Bhind,33,Exp,,,,,
Bhopal Exp,12155/12156,Rani Kamlapti,H. Nizamuddin,2,Champaran Satyagrah,14009/14010,Anand Vihar,Bapudham ,"22,64",
,,(Bhopal),,,Exp,,,Motihari,,
Bhopal Exp,12183/12184,MBDD Partapgarh,Bhopal,35,Chamundi Exp,16215/16216,Mysuru,KSR Bengaluru,20,
Bhopal Exp,12593/12594,Lucknow,Bhopal,35,Chandigarh Exp,12231/12232,Lucknow,Chandigarh,88,
Bhopal Exp,13025/13026,Howrah,Bhopal,73,Chandigarh Exp,15063/15064,Ramnagar,Chandigarh,"13,55A",
Bhopal Exp,19711/19712,Jaipur,Bhopal,"23A,43A,54A",Chandigarh Exp,22355/22356,Patliputra,Chandigarh,88,
Bhopal Exp,14813/14814,Jodhpur,Bhopal,28,,,,,,
Bhopal Exp,22165/22166,Singrauli,Bhopal,73,,,,,,TAG-26
* Will be renumbered as 18401/18402 w.e.f. 01-02-2026.,,,,,,,,,,
,,,,,29,,,,,
,Train ,Train,From,To,Table,Train ,Train,From,To,Table
,Name,No,Station,Station,No.,Name,No,Station,Station,No.
,Chandigarh Exp,14613/14614,Firozour,Sahibzada Ajeet,15A,Coimbatore Exp,22615/22616,Tirupati,Coimbatore,70
,,,,Singh Nagar,,Coonoor Passenger,56139,Udagamandalam,Coonoor,97
,,,,(Mohali),,Coonoor Passenger,56140,Udagamandalam,Coonoor,97
,Chandigarh Exp,14887/14888,Rishikesh,Barmer,45,Coonoor Passenger,56142,Udagamandalam,Coonoor,97
,Chandigarh Exp,15011/15012,Lucknow,Chandigarh,88,Corbett Park Link Exp.,25013/25014,Delhi,Ramnagar,55
,Chandigarh Exp,15903/15904,Dibrugarh,Chandigarh,"13,66A,88",Coromandel Exp,12841/12842,Howrah,MGR Chennai,7
,Chandigarh Exp,22451/22452,Bandra (T),Chandigarh,"11,23A,27",,,,Central,
,Chandigarh Exp,20493/20494,Madurai,Chandigarh,"86,69,8A,27",Dadar Exp,11005/11006,Puducherry,Dadar,"19,20,21"
,Chandigarh Exp,20989/20990,Udaipur City,Chandigarh,"23, 27, 54, 80",Dadar Exp,11021/11022,Tirunelveli,Dadar,"19,69"
