Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
,14627/14628,Chheharta,Saharsa,Amrit Bharat,"12,22,64,90",15025/15026,Mau,Anand Vihar (T),Exp,25
,14629/14630,Firozpur,Chandigarh,Sutlej,80,15027/15028,Sambalpur,Gorakhpur,Maurya,"36,37"
,14631/14632,Dehradun,Amritsar,Exp,12,15029/15030,Gorakhpur,Pune,Exp,"35,44"
,14633/14634,Amritsar,Pathankot,Ravi,51,15031/15032,Gorakhpur,Lucknow,Intercity,22
,14649/14650,Jaynagar,Amritsar,Saryu Yamuna,"15,22,25",15033/15034,Pattiputra,Lucknow Jn,Exp,22
TAG-26,14653/14654,Hisar,Amritsar,Exp,80,15035/15036,Delhi,Kathgodam,Uttaranchal,55
,14661/14662,Barmer,Jammu Tawi,Shalimar,"16,23",,,Sampark Kranti,,
,14673/14674,Jaynagar,Amritsar,Shaheed,"15,22",15037/15038,Kanpur Anwarganj,Kasganj,Exp,82
,,,,,16,,,,,
Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
15039/15040,Kanpur Anwarganj,Kasgani,Exp,82,15417/15418,Alipurduar Jn,Silghat Town,Rajya Rani,74,
15043/15044,Lucknow,Kothgodam,Exp,22,15463/15464,Balurghat,New Jalpaiguri,Exp,14,
15045/15046,Gorakhpur,Okha,Exp,"11,33",15467/15468,Siliguri,Bamanhat,Exp,74,
15047/15048,Kolkata,Gorakhpur,Purvanchal,37,15483/15484,Alipurduar,Delhi,Sikkim Mahananda,"1,18,74",
15049/15050,Kolkata,Gorakhpur,Exp,"37,63",15501/15502,Raxaul,Jogbani,Exp,64,
15051/15052,Kolkata,Gorakhpur,Exp,"37,64",15503/15504,Saharsa,Patna,Rajyarani Exp,90,
15053/15054,Chhapra,Gomti Nagar.,Exp,33,15505/15506,Saharsa,Patliputra,Exp,90,
15055/15056,Agra Fort,Ramnagar,Exp,82,15507/15508,Darbhanga,Patliputra,Intercity,37,
15057/15058,Gorakhpur,Anand Vihar,Exp,22,15509/15510,Lalitgram,Patna,Rajyarani Exp,90,
15059/15060,Anand Vihar (T),Lalkaun,Intercity,55,15515/15516,Narkatiaganj,Danapur,Exp,64,
15061/15062,Kasganj,Lalkuan,Exp,82,15527/15528,Jaynagar,Patna,Kamla Ganga Exp,90,
15063/15064,Ram Nagar,Chandigarh,Exp,"13,55",15529/15530,Saharsa,Anand Vihar (T),Jansadharan,"64,22",
15065/15066,Gorakhpur,Panvel,Exp,"38,35",15531/15532,Saharsa,Amritsar,Jansadharan,13,
15067/15068,Gorakhpur,Bandra (T),Exp,"24,35,38",15549/15550,Jaynagar,Patna,Intercity,90,
15069/15070,Gorakhpur,Aishbagh,Exp,38,15551/15552,Darbhanga,Banaras City,Antodaya Exp,22,
15071/15072,Lucknow Jn.,Mau,Exp,25,15553/15554,Jaynagar,Bhagalpur,Exp,90,
15073/15074,Singrauli,Tanakpur,Triveni,"25,55",15555/15556,Patliputra,Bapudham Motihari,Intercity Exp,64,
15075/15076,Shakthinagar,Tanakpur,Triveni,55,15557/15558,Darbhanga,Anand Vihar (T),Amrit Bharat,22,
15077/15078,Gomti Nagar,Kamakhya,Exp,13,15559/15560,Darbhanga,Ahmedabad,Antodaya,"3,6,22,32,34",
15079/15080,Gorakhpur,Patliputra,Exp,82,15561/15562,Darbhanga,Gomitnagar,Amrit Bharat,"22, 64",
15081/15082,Gomti Nagar,Nakaha Jungal,Exp,38,15565/15566,Lalitgram,New Delhi,Vaishali,22,
15083/15084,Chhapra,Farrukhabad,Exp,33,15567/15568,Bapudham Motihari,Anand Vihar (T),Amrit Bharat,"22, 64",
15089/15090,Gomtinagar,Godda,Exp,18,15589/15590,Muzaffarpur,Hadapsar,Exp,"6,6A,22",
15091/15092,Daurai,Tankapur,Exp,"23, 55",15601/15602,Dhubri,Guwahati,Exp,74,
15097/15098,Bhagalpur,Jammu Tawi,Amarnath,13,15603/15604,Guwahati,Ledo,Intercity,66,
15103/15104,Gorakhpur,Banaras,Exp,63,15609/15610,Guwahati,Sairang,Exp,"83, 83A",
15105/15106,Chhapra,Nautanua,Intercity,22,15611/15612,Rangiya,Silchar,Exp,83,
15107/15108,Banaras,Lucknow,Exp,12,15613/15614,Kamakhya,Murkongselek,Lachit Exp,62,
15109 /15110,Chhapra,Mathura,Exp,22,15615/15616,Guwahati,Silchar,Exp,83,
15111/15112,Chhapra,Varanasi City,Intercity,"37,63",15617/15618,Guwahati,Dullabchera,Exp,83,
15113/15114,Chhapra,Lucknow Jn.,Exp,82,15619/15620,Gaya,Kamakhya,Exp,93,
15115/15116,Chhapra,Delhi,Lok Nayak,22,15621/15622,Kamakhya,Anand Vihar (T),Exp,"13,18,74",
15117/15118,Banaras,Lucknow,Exp,22,15623/15624,Bhagat Ki Kothi,Kamakhya,Exp,"18,59",
15119/15120,Banaras,Dehradun,Exp,12,,,,,,
,,,,,15625/15626,Agartala,Deoghar,Exp,"18,83",
15125/15126,Banaras,Patna,Jan Shatabdi,17,,,,,,
,,,,,15629/15630,Tambaram,Silghat Town,Nagaon Exp,"29,74",
15127/15128,Banaras,New Delhi,Kashi Vishwanath,25,,,,,,
,,,,,15631/15632,Barmer,Guwahati,Exp,"18,28",
15129/15130,Gorakhpur,Varanasi City,Exp,63,,,,,,
,,,,,15633/15634,Bikaner,Guwahati,Exp,"18,28",
15131/15132,Gorakhpur,Varanasi City,Exp,63,,,,,,
,,,,,15635/15636,Okha,Guwahati,Dwarka,"3,11,18",
15133/15134,Chhapra,Anand Vihar (T),Amrit Bharat,"22, 22A",,,,,,
,,,,,15639/15640,Puri,Kamakhya,Exp,29,
15135/15136,Chhapra,Amritsar,Exp,13,,,,,,
,,,,,15641/15642,Silchar,New Tinsukia,Barak Brahmaputra,"14,66,83",
15159/15160,Chhapra,Durg,Sarnath,81,,,,,,
,,,,,15643/15644,Puri,Kamakhya,Exp,"29,74",
15181/15182,Mau,Lokmanya Tilak,Exp,"6,63",,,,,,
,,,,,15647/15648,Lokmanya Tilak (T),Guwahati,Exp,"18,24",
15201/15202,Patliputra,Bagha,Intercity,64,,,,,,
,,,,,15651/15652,Guwahati,Jammu Tawi,Lohit,13,
15203/15204,Barauni,Lucknow,Exp,22,,,,,,
,,,,,15653/15654,Guwahati,Jammu Tawi,Amarnath,"13,64",
15205/15206,Lucknow Jn.,Madan Mahal,Exp,57,,,,,,
15211/15212,Darbhanga,Amritsar,Jan Nayak,"13,22,64",15655/15656,Kamakhya,Shri Mata Vaishno,Exp,"13,64",
,,,,,,,Devi Katra,,,
15215/15216,Muzaffarpur,Narkatiaganj,Exp,64,,,,,,
,,,,,15657/15658,Kamakhya,Delhi,Brahmaputra Mail,"1,18",
15227/15228,SMVT Bengaluru,Muzaffarpur,Exp,"20,22,29",,,,,,
,,,,,15661/15662,Ranchi,Kamakhya,Exp,"29,73,74",
15231/15232,Barauni,Gondia,Exp,"5,81",,,,,,
15233/15234,Kolkata,Darbhanga,Exp,37,15663/15664,Agartala,Silchar,Exp,83,
15235/15236,Darbhanga,Howrah,Exp,37,15665/15666,Kamakhya,Mariani,Exp,66,
15267/15268,Raxaul,Lokmanya Tilak (T),Antyodaya,"6,22,64",15667/15668,Gandhidham,Kamakhya,Exp,"3,11,18,33",
15269/15270,Muzaffarpur,Sabarmati,Exp,"22,23,33",15669/15670,Guwahati,Dibrugarh Town,Exp,66,
15271/15272,Howrah,Muzaffarpur,Jan Sadharan,37,15701/15702,Katihar,Siliguri,Exp,93,
15273/15274,Raxaul,Anand Vihar (T),SatyAgraha,"22,64",15703/15704,New Jalpaiguri,Bongaigaon,Exp,18,
15279/15280,Saharsa,Anand Vihar (T),Poorabiya,22,15705/15706,Katihar,Delhi,Champaran,"22,38,64,90",
15283/15284,Manihari,Jaynagar,Janki,90,,,,Humsafar,,
15293/15294,Muzaffarpur,Charalapalli,Amrit Bharat,"17,17A,64",15707/15708,Katihar,Amritsar,Exp,"15,22",TAG-26
,,,,,17,,,,,
Train,From,To,Train,Table,Train,From,To,Train,Table
No.,station,station,Name,No.,No.,station,station,Name,No.
15709/15710,New Jalpaiguri,Malda Town,Exp,14,16207/16208,Yesvantpur,Mysuru,Exp,19
15711/15712,Howrah,Katihar,Exp,14,16209/16210,Ajmer,Mysuru,Exp,"11,19,23"
15713/15714,Katihar,Patna,Intercity,90,16211/16212,Yesvantpur,Salem,Exp,69
15715/15716,Kishanganj,Ajmer,Garib Nawaz,"18,23,25",16213/16214,Arsikere,SSS Hubballi,Exp,19
15719/15720,Katihar,Siliguri,Intercity,93,16215/16216,Mysuru,KSR Bengaluru,Chamundi,20
15721/15722,Digha,New Jalpaiguri,Paharia,14,16217/16218,Mysuru,Sai Nagar Shirdi,Exp,"10,60,19"
15723/15724,Jogbani,Siliguri Town,Exp,18,16219/16220,Chamarajanagar,Tirupati,Exp,20
15733/15734,Balurghat,Bhatinda,Farakka,"1,14,25,39",16221/16222,Talaguppa,Mysuru,Kuvempu,19
15743/15744,Balurghat,Bhatinda,Farakka,"1,14,25,39",16225/16226,Mysuru,Shivamogga Town,Exp,19
15753/15754,Alipur Duar,Guwahati,Exp,74,16227/16228,Mysuru,Talguppa via SBC,Exp,19
15767/15768,Siliguri,Alipurduar Jn.,Intercity,74,16231/16232,Cuddalore Port,Mysuru,Exp,69
15769/15770,Alipurduar Jn.,Lumding,Intercity,"14,66",16833/16834,Mayiladuturai,Tiruchchirappalli,Exp,69
15777/15778,New Jalpaiguri,Alipurduar,Tourist Exp,74,16235/16236,Tuticorin,Mysuru,Exp,69
15813/15814,Dekargaon,Murkongselek,Exp,62,16239/16240,Chikkamagaluru,Yesvantpur,Exp,19
15815/15816,Guwahati,Dekargaon,Intercity,62,16301/16302,Shoranur,Thiruvananthapuram,Venad,85
15817/15818,Sukhovi,Naharlagun,Donyi Polo,62,,,Central,,
15888/15887,Guwahati,Badarpur,Exp,83,16303/16304,Ernakulam Jn,Thiruvananthapuram,Vanchinad,85
15895/15896,Rangiya,Murkongselek,Exp,62,,,Central,,
15901/15902,Lumding,Tinsukia,Exp,66,16305/16306,Ernakulam Jn,Kannur,Intercity,85
15903/15904,Dibrugarh,Chandigarh,Exp,"13,66,88",16307/16308,Alappuzha,Kannur,Exp,85
15907/15908,Tinsukhia,Naharlagun,Intercity,61,16309/16310,Ernakulam Jn,Kayamkulam Jn,Exp,85
15909/15910,Dibrugarh,Lalgarh,Avadh Assam,"18,22,39,66",16311/16312,Thiruvanthapuram North,Sri Ganga Nagar,Exp,"39,23,26"
15911/15912,Tinsukia,Naharlagun,Exp,61,16315/16316,Mysuru,Thiruvanthapuram,Exp,86
15925/15926,Deoghar,Dibrugarh,Exp,"18,62",,,North,,
15927/15928,Rangiya,New Tinsukia,Exp,66,16317/16318,Kanniyakumari,Shri Mata Vaishno,Himsagar,"8,16,86"
,,,,,,,Devi Katra,,
15929/15930,Tambaram,New Tinsukia,Exp,"29,66",,,,,
,,,,,16319/16320,Thiruvanthapuram,SMVT Bengaluru,Humsafar,86
15933/15934,New Tinsukia,Amritsar,Exp,"13,66",,,,,
,,,,,,North,,,
15945/15946,Dibrugarh,Lokmanya Tilak (T),Exp,"18,24,66",,,,,
,,,,,16321/16322,Nagercoil Jn,Coimbatore,Exp,69
15959/15960,Howrah,Dibrugarh,Kamrup,"14,66",,,,,
,,,,,16323/16324,Coimbatore,Mangaluru Central,Exp,86
15961/15962,Howrah,Dibrugarh,Kamrup,"14,61",,,,,
,,,,,16325/16326,Kottayam,Nilambur Road,Exp,86
15967/15968,Rangiya,Dibrugarh,Exp,66,,,,,
,,,,,16327/16328,Madurai Jn,Guruvayur,Exp,"21,85"
16003/16004,MGR Chennai,Nagarsol,Exp,"53,71",,,,,
,,,,,16331/16332,Chhatrapati Shivaji,Thiruvananthapuram,Exp,70
,Central,,,,,,,,
,,,,,,Maharaj (T),Central,,
16021/16022,MGR Chennai,Ashokapuram,Kaveri,20,,,,,
,,,,,16333/16334,Veraval,Thiruvananthapuram,Exp,26
,Central,,,,,,,,
,,,,,,,Central,,
16031/16032,MGR Chennai,Shri Mata Vaishno,Andaman,"8,16",,,,,
,,,,,16335/16336,Gandhidham,Nagercoil Jn,Exp,26
,Central,Devi Katra,,,,,,,
,,,,,16337/16338,Okha,Ernakulam Jn,Exp,26
16053/16054,MGR Chennai,Tirupati,Exp,20,,,,,
,Central,,,,16339/16340,Chhatrapati Shivaji,Nagercoil Jn,Exp,70
,,,,,,Maharaj (T),,,
16057/16058,MGR Chennai,Tirupati,Sapthagiri,20,,,,,
,Central,,,,16341/16342,Guruvayur,Thiruvananthapuram,Intercity,85
16085/16086,Arakkonam,Jolarpettai,Exp,20,16343/16344,Thiruvananthapuram,Rameswaram,Amritha,"21,86"
16087/16088,Arakkonam,Salem,Exp,86,16345/16346,Lokmanya Tilak (T),Thiruvananthapuram,Netravati,26
,,,,,,,Central,,
16089/16090,MGR Chennai,Jolarpettai,Yelagiri,20,,,,,
,Central,,,,16347/16348,Thiruvananthapuram,Mangaluru Central,Exp,85
,,,,,,Central,,,
16093/16094,MGR Chennai,Lucknow Jn.,Exp,17,,,,,
,Central,,,,16349/16350,Thiruvanthapuram,Nilambur Road,Rajya Rani,86
,,,,,,North,,,
16101/16102,Tambaram,Kollam,Exp,21,,,,,
,,,,,16351/16352,Chhatrapati Shivaji,Nagercoil Jn,Exp,"21,70"
16103/16104,Tambaram,Rameswaram,Exp,21,,,,,
,,,,,,Maharaj (T),,,
16111/16112,Tirupati,Puducherry,Exp,21,,,,,
,,,,,16353/16354,Kacheguda,Nagercoil Jn,Exp,"70,71"
16115/16116,Chennai Egmore,Puducherry,Exp,21,,,,,
,,,,,16355/16356,Thiruvanthapuram,Mangaluru Jn.,Antyodaya,26
16127/16128,Chennai Egmore,Guruvayur,Exp,"21,85",,North,,,
16159/16160,Chennai Egmore,Mangalore,Exp,"21,86",16361/16362,Ernakulam Jn,Velankanni,Exp,"21,85"
16175/16176,Chennai Egmore,Karaikal,Exp,21,16366,Nagercoil Jn,Kottayam,Exp,85
16179/16180,Chennai Egmore,Mannargudi,Mannai,21,16367/16368,Kanniyakumari,Banaras,Kashi Tamil,"8,21"
16187/16188,Karaikkal,Ernakulam Jn,Exp,86,,,,Sangam,
16203/16204,MGR Chennai,Tirupati,Exp,20,16377/16378,Ernakulam Jn,Bengaluru,Exp,86
TAG-26,Central,,,,16381/16382,Pune,Kanniyakumari,Exp,"10,70"
16205/16206,Talguppa,Mysuru,Intercity,19,20693/20694,Jodhpur,KSR Bengaluru,Super Fast,"11,19,23"
,,,,18,,,,,
Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
16511/16512,KSR Bengaluru,Kannur,Exp,"19,20",16843/16844,Tiruchirappalli,Palghat Town,Exp,86,
16515/16516,Yesvantpur,Karwar,Exp,"19,26",16845/16846,Erode,Sengottai,Exp,69,
16519/16520,Jolarpettai,KSR Bengaluru,Exp,20,16847/16848,Mayiladuthurai,Sengottai,Exp,21,
16521/16522,Bangarapet,KSR Bengaluru,Exp,20,16849/16850,Tiruchirappalli,Rameswaram,Exp,21,
16525/16526,Kanniyakumari,KSR Bengaluru,Exp,86,16853/16854,Tirupati,Villupuram,Exp,21,
16527/16528,Yesvantpur,Kannur,Exp,86,16855/16856,Puducherry,Mangaluru Central ,Exp,86,
16529/16530,SMVT Bengaluru,Karaikal,Exp,"69,86",,,(via Salem),,,
16531/16532,Ajmer,KSR Bengaluru,Garib Nawaz,"11,19,23,60",16857/16858,Puducherry,Mangaluru Central (via,Exp,"22,86",
16533/16534,Jodhpur,KSR Bengaluru,Exp,"23,11,19,60",,,Tiruchchirappalli),,,
16535/16536,Mysuru,Pandharpur,Golgumbaz,19,16861/16862,Puducherry,Kanniyakumari,Exp,21,
16539/16540,Yesvantpur,Mangalore Jn.,Exp,"183, 177",16865/16866,Chennai Egmore,Thanjavur,Uzhavan,21,
16541/16542,Yesvantpur,Pandharour,Exp,19,16867/16868,Villupuram,Dindigul,Exp,21,
16545/16546,Sindhanur,Yesvantpur,Yesvantpur Exp,60,16870,Villupuram Junction,Tirupati,Tirupati Exp,21,
16547/16548,Yesvantpur,Vijayapura,Exp,19,17001/17002,Sai Nagar Shirdi,Secunderabad,Exp,53,
16549/16550,Bengaluru,Kolar,Exp,20,17003/17004,Kazipet,Sirpur Town,Exp,8,
16551/16552,MGR Chennai Central,Ashokapuram,Exp,20,17005/17006,Hyderabad,Raxaul,Exp,"9,36,37,42",
16565/16566,Yesvantpur,Mangaluru Central,Exp,86,17007/17008,Secunderabad,Darbhanga,Exp,"9,36,37,42",
16567/16568,Tumkur,Shivamogga Town,Exp,19,17009/17010,Bidar,Hyderabad/,Intercity,53,
16569/16570,Yesvantpur,Kacheguda,Exp,52,,,Secunderabad,,,
16561/16562,Yesvantpur,Thiruvananthapuram,AC Exp,86,17011/17012,Hyderabad/Bidar,Sirpur Kaghaznagar,Intercity,9,
,,North,,,17013/17014,Hadapsar,Kazipet,Exp,53,
16571/16572,Yesvantpur,Bidar,Exp,60,17015/17016,Bhubaneswar New,Secunderabad,Visakha,30,
16573/16574,Yesvantpur,Puduchery,Exp,69,17019/17020,Hisar,Hyderabad,Exp,"9,54,53,77",
16575/16576,Yesvantpur,Mangaluru Junction,Gomateswara Exp,19,17021/17022,Hyderabad,Vasco-de-Gama,Exp,"49,52",
16577/16578,Yesvantpur,Bidar,Exp,60,17023/17024,Kacheguda,Kurnool City,Thungabhadra,52,
16581/16582,Yesvantpur,Shivamogga Town,Exp,19,17027/17028,Hyderabad,Kurnool Town,Hundry,52,
16583/16584,Yesvantpur,Latur,Exp,60,17029/17030,Hyderabad,Vijayapura,Exp,10,
16585/16586,SMVT Bengaluru,Murudeshwar,Exp.,19,17033/17034,Bhadrachalam Road,Balharshah,Exp,8,
16587/16588,Yesvantpur,Bikaner,Exp,"19,23,31",17035/17036,Kazipet,Balharshah,Exp,8,
16589/16590,KSR Bengaluru,Sangli,Rani Chennamma,19,17039/17040,Secunderabad,Vasco-de-gama,Exp,"49, 52",
16591/16592,SSS Hubballi,Mysuru,Hampi,60,17057/17058,Chhatrapati Shivaji,Lingumpalli,Devgiri,53,
16593/16594,KSR Bengaluru,Hazur Sahib Nanded,Exp,60,,Maharaj (T),,,,
16595/16596,KSR Bengaluru,Karwar,Panchganga Exp,"19,26",17063/17064,Manmad,Kacheguda,Aiantha,53,
16601/16602,Erode,Jogbani,Amrit Bharat,"17,86,90",17201/17202,Guntur,Secunderabad,Golconda,71,
16603/16604,Mangaluru Central,Thiruvananthapuram,Maveli,85,17205/17206,Sai Nagar Shirdi,Kakinada Port,Exp,"30,53",
,,Central,,,17207/17208,Sai Nagar Shirdi,Machilipatnam,Exp,"30,53",
16605/16606,Mangaluru Central,Thiruvanathapuram,Ernad,85,17209/17210,SMVT Bengaluru,Kakinada Town,Seshadri,"7,20",
,,Central,,,17211/17212,Machilipatnam,Yesvantpur,Kondaveedu,49,
16607/16608,Kannur,Coimbatore,Exp,26,17215/17216,Machilipatnam,Dharmavaram,Exp,49,
16609/16610,Thrissur/Mangaluru,Kannur/Kozhikode,Exp,85,17219/17220,Machilipatnam,Visakhapatnam,Exp,"7,7A",
16613/16614,Rajkot,Coimbatore,Exp,31,17221/17222,Kakinada Port,Lokmanya Tilak (T),Exp,"10,30",
16615/16616,Mannargudi,Coimbatore,Chemmozhi,69,17225/17226,Narsapur,SSS Hubballi,Amaravati,49,
16617/16618,Rameshwaram,Coimbatore,Exp,"21,69",17227/17228,Dhone,Guntur,Exp,49,
16621/16622,Manglore Central,Rameshwaram,Exp,"21,69",17231/17232,Narsapur,Nagarsol,Exp,"30,53",
16629/16630,Thiruvananthapuram,Mangaluru Central,Malabar,85,17233/17234,Secunderabad,Sirpur Kaghazanager,BhagyaNagar,9,
16649/16650,Mangaluru Central,Kanniyakumari,Parasuram,85,17235/17236,SMVT Bengaluru,Nagercoil,Exp,69,
16721/16722,Madurai,Coimbatore,Exp,69,17237/17238,MGR Chennai,Bitragunta,Exp,71,
16729/16730,Madurai,Punalur,Exp,21,,Central,,,,
16731/16732,Palakkad,Tiruchendur,Exp,"21,69",17239/17240,Guntur,Visakhapatnam,Simhadri,30,
16733/16734,Rameshwaram,Okha,Exp,"11,31,53, ",17241/17242,Narasapur,Nidadavolu,Link,30,
,,,,"70,71",17243/17244,Guntur,Rayagada,Exp,40,
16751/16752,Chennai Egmore,Rameshwaram,Exp,21,17245/17246,Dharamavaram,Machilipatnam,Exp,7,
16765/16766,Mettupalayam,Tuticorin,Exp,21,17247/17248,Narsapur,Dharamavaram,Exp,7,
16779/16780,Tirupati,Rameshwaram,Exp,21,17249/17250,Tirupati,Kakinada Town,Exp,7,
16787/16788,Tirunelveli,Shri Mata Vaishno,Exp,"8,16,69,86",17251/17252,Kacheguda,Guntur,Exp,71,
,,Devi Katra,,,,,,,,
,,,,,17253/17254,Guntur,Chhatrapati SambhaJi,Exp,71,
16791/16792,Palakkad,Tuticorin,Palaruvi,86,,,Nagar,,,
16811/16812,Mayaladuturai,Salem JN.,Exp,69,17255/17256,Narsapur,Lingampalli,Exp,30,TAG-26
,,,,,19,,,,,
,Train,From,To,Train,Table,Train,From,To,Train,Table
,No.,station,station,Name,No.,No.,station,station,Name,No.
,17257/17258,Vijayawada,Kakinada Port,Exp,"7,30",17649/17650,Hyderabad,Chhatrapati SambhaJi,Exp,53
,17259/17260,Gudur,Vijayawada,Exp,7,,,Nagar,,
,17261/17262,Guntur,Tirupati,Exp,49,17651/17652,Chengalpattu,Kacheguda,Exp,71
,17263/17264,Bhimavaram,Narasapur,Exp,7,17653/17654,Pondicherry,Kacheguda,Exp,71
,17267/17268,Kakinada Port,Visakhapatnam,Exp,7,17655/17656,Pondicherry,Kakinada,Exp,71
,17269/17270,Vijayawada,Narasapur,Exp,7,17659/17660,Secunderbad,Bhadrachalam Road,Exp,30
,17281/17282,Guntur,Narasapur,Exp,30,17661/17662,Kacheguda,Nagarsol,Exp,53
,17301/17302,Mysuru,Belagavi,Exp,19,17663/17664,Raichur,Parbhani,Exp,53
,17303/17304,SSS Hubballi,Sidhanur,Exp,49,17665/17666,H.S. Nanded,Lokmanya Tilak (T),Exp,53
,17307/17308,Mysuru,Bagalkot,Basava,"10,20",17667/17668,H.S. Nanded,Lokmanya Tilak (T),Exp,53
,17309/17310,Yesvantpur,Vasco-de-Gama,Exp,19,17683/17684,Akola,Purna,Exp,53
,17315/17316,Vasco-de-Gama,Velankanni,Exp,1969,17687/17688,Manmad,Dharmabad,Exp,53
,17317/17318,SSS Hubballi,Dadar,Exp,19,17693/17694,Kacheguda,Raichur,Exp,9
,17319/17320,SSS Hubballi,Hyderabad,Exp,"19,10",18003/18004,Howrah,Adra,Exp,87
,17321/17322,Vasco Da Gama,Jasidih,Exp,"5,9,19,36,49",18005/18006,Howrah,Jagdalpur,Sambaleswari,"5,40"
,17323/17324,SSS Hubballi,Banaras,Exp,"6,9,19",18007/18008,Shalimar,Bhanjpur,Simlipal,87
,17327/17328,SSS Hubballi,Kushtagi,Kushtagi,49,18009/18010,Santragachi,Ajmer,Exp,"34,41,72"
,17329/17330,SSS Hubballi,Vijayawada,Exp,49,18011/18012,Howrah,Chakradharpur,Exp,87
,17333/17334,Miraj,Castle Rock,Exp,44,18013/18014,Adra,Bokaro Steel City,Exp,87
,17347/17348,SSS Hubballi,Chitradurg,Exp,19,18019/18020,Jhargram,Dhanbad,Exp,87
,17377/17378,Vijayapura,Mangaluru Central,Exp,19,18021/18022,Kharagpur,Khurda Road,Exp,29
,17391/17392,KSR Bengaluru,Sindhanur,Exp,19,18023/18024,Kharagpur,NSCB Gomoh,Exp,87
,17405/17406,Tirupati,Adilabad,Krishna,71,18027/18028,Kharagpur,Asansol,Exp,87
,17407/17408,Tirupati,Mannargudi,Pamani,21,18029/18030,Lokmanya Tilak (T),Shalimar,Exp,5
,17409/17410,Adilabad,Hazur Sahib Nanded,Exp,53,18033/18034,Howrah,Ghatsila,Exp,87
,17411/17412,Chhatrapati Shivaji,Chhatrapati Shahu,Mahalaxmi,19,18035/18036,Kharagpur,Hatia,Exp,87
,,Maharaj (T),Maharaj (T),,,,,,,
,,,,,,18037/18038,Kharagpur,Jajpur Keonjhar,Exp,29
,17415/17416,Tirupati,Chhatrapati Shahu,Exp,"19,49",,,,,
,,,,,,18043/18044,Howrah,Bhadrak,Exp,29
,,,Maharaj (T),,,,,,,
,,,,,,18045/18046,Shalimar,Charlapalli,East Coast Exp,30
,17417/17418,Tirupati,Sai Nagar Shiridi,Exp,"10,53",,,,,
,,,,,,18047/18048,Shalimar,Vasco da Gama,Exp,"7,49"
,17419/17420,Tirupati,Vasco-da-qama,Exp,49,,,,,
,17421/17422,Tirupati,Kollam,Exp,70,18049/18050,Shalimar,Badampahar,Exp,5
,17423/17424,Tirupati,Chikkamaguluru,Exp,"19,70",18051/18052,Badampahar,Rourkela,Exp,5
,17435/17436,Kacheguda,Kurnool City,Exp,52,18085/18086,Kharagpur,Ranchi,Exp,87
,17479/17480,Puri,Tirupati,Exp,7,18101/18102,Tatanagar,Jammu Tawi,Exp,41
,17481/17482,Bilaspur,Tirupati,Exp,"7,42",18103/18104,Tatanagar,Amritsar,Tatanagar,"12,41"
,17487/17488,Cuddapah,Visakhapatnam,Thirumala,"7,71",18105/18106,Rourkela,Jaynagar,Exp,"36,37"
,17603/17604,Kacheguda,Yelhanka,Exp,52,18107/18108,Rourkela,Jagdalpur,Exp,40
,17605/17606,Kacheguda,Bhagat Ki Kothi,Exp,"9, 23, 53, 54",18109/18110,Tatanagar,NSCB Itwari,Exp,5
,17609/17610,Patna,Purna,Exp,"17,24,53",18111/18112,Tatanagar,Yesvantpur,Exp,"40,71"
,17611/17612,Nanded,Chhatrapati Shivaji,Exp,53,18113/18114,Tatanagar,Bilaspur,Exp,5
,,,Maharaj (T),,,18115/18116,NSCB Gomoh,Chakradharpur,Exp,87
,17614/17613,Nanded,Panvel,Exp,44,18117/18118,Rourkela,Gunupur,Rajya Rani,"7,78"
,17618/17617,Hazur Sahib Nanded,Chhatrapati Shivaji,Tapovan,53,18119/18120,Tatanagar,Jaynagar,Exp,37
,,,Maharaj (T),,,18125/18126,Rourkela,Puri,Exp,32
,17619/17620,H.S. Nanded,Chhatrapati SambhaJi,Exp,53,18175/18176,Hatia,Jharsuguda,Exp,78
,,,Nagar,,,,,,,
,,,,,,18181/18182,Tatanagar,Thawe,Exp,37
,17621/17622,Chhatrapati,Tirupati,Exp,"10,53",,,,,
,,,,,,18183/18184,Tatanagar,Buxar,Exp,36
,,SambhaJi Nagar,,,,,,,,
,,,,,,18185/18186,Tatanagar,Godda,Exp,37
,17625/17626,Kacheguda/,Repalle,Delta Exp,"71,71A",,,,,
,,Vikarabad,,,,18189/18190,Tatanagar,Ernakulam Jn,Exp,40
,17629/17630,Hadapsar*,Hazur Sahib Nanded,Exp,"44,53",18201/18202,Durg,Nautanwa,Exp,"38,81"
,17639/17640,Kacheguda,Akola,Exp,53,18203/18204,Durg,Kanpur Central,Betwa,81
,17641/17642,Kacheguda,Narkher,Exp,53,18205/18206,Durg,Nautanwa,Exp,"38,81"
,17643/17644,Pondicherry,Kakinada Port,Circar,7,18207/18208,Durg,Ajmer,Exp,"72,81"
,17645/17646,Secunderabad,Repalle,Exp,71,18213/18214,Durg,Ajmer,Exp,"72,81"
TAG-26,17647/17648,Hyderabad,Purna,Exp,53,18233/18234,Indore,Bilaspur,Narmada,43
,,,,,,18235/18236,Bhopal,Bilaspur,Exp,43
* Change in Terminal from Pune to Hadapsar w.e.f. 26-01-2026.,,,,,,,,,,
