Train,From,To,Train,Table,Train,From,To,Train,Table,
No.,station,station,Name,No.,No.,station,station,Name,No.,
12281/12282,Bhubaneswar,New Delhi,Duronto,32,12403/12404,Prayagraj,Lalgarh,Exp,"1,59,80",
12283/12284,Ernakulam Jn,H. Nizamuddin,Duronto,"3,26",12405/12406,Bhusaval,H. Nizamuddin,Gondwana,"2,34",
12285/12286,Secunderabad,H. Nizamuddin,Duronto,9,12407/12408,New Jalpaiguri,Amritsar,Karmabhoomi,13,
12289/12290,Chhatrapati Shivaji,Nagpur,Duronto,5,12409/12410,Raigarh,H. Nizamuddin,Gondwana,42,
,Maharaj (T),,,,12411/12412,Chandigarh,Amritsar,Intercity,15,
12291/12292,Yesvantpur,MGR Chennai ,Exp,20,12413/12414,Ajmer,Jammu Tawi,Galtadham Pooja,"16,23",
,,Central,,,,,,Exp,,
12293/12294,Lokmanya Tilak (T),Prayagraj,Duronto,6,12415/12416,Indore,New Delhi,Exp,3,
12295/12296,SMVT Bengaluru,Danapur,Sanghmitra,"17,20",12417/12418,Prayagraj,New Delhi,Prayagraj,1,TAG-26
,,,,,11,,,,,
,Train,From,To,Train,Table,Train,From,To,Train,Table
,No.,station,station,Name,No.,No.,station,station,Name,No.
,12419/12420,Lucknow,New Delhi,Gomti,25,12511/12512,Gorakhpur,Thiruvanthapuram,Raptisagar,"8,17,35,86"
,12421/12422,Amritsar,Hazur SahibNanded,Exp,"9,15,39,53",,North,,,
,12423/12424,Dibrugarh Town,New Delhi,Dibrugarh Town,"18,66",12513/12514,Charlapalli,Silchar,Exp,"29,83"
,,,,Rajdhani,12515/12516,Coimbatore Jn.,Silchar,Exp,"29,83,86",
,12425/12426,New Delhi,Jammu Tawi,Jammu Rajdhani,16,12517/12518,Kolkata,Guwahati,Garib Rath,14
,12427/12428,Rewa,Anand Vihar (T),Rewa Exp,"1,6",12519/12520,Lokmanya Tilak (T),Agartala,SF Exp,"18,24"
,12429/12430,Lucknow,New Delhi,AC,25,12521/12522,Barauni,Ernakulam Jn,Raptisagar,"8,17,35,37,86"
,12431/12432,Thiruvananthapuram,H. Nizamuddin,Thiruvananthapuram,"3,26",12523/12524,New Jalpaiguri,Anand Vihar (T),Exp,18
,,Central,,Rajdhani,12533/12534,Gomti Nagar,Chhatrapati Shivaji,Pushpak,35,
,12433/12434,MGR Chennai ,H. Nizamuddin,Chennai Rajdhani,8,,Maharaj (T),,,
,,Central,,,12535/12536,Lucknow Jn.,Raipur,Garib Rath,81,
,12435/12436,Anand Vihar (T),Jaynagar,Exp,"1,90",12539/12540,Yesvantpur,Lucknow,Exp,"17,25"
,12437/12438,Secunderabad,H. Nizamuddin,Secunderabad,9,12545/12546,Raxaul,Lokmanya Tilak (T),Karmabhoomi,"90,24"
,,,,Rajdhani,,,,,,
,,,,,12547/12548,Agra Cantt.,Sabarmati,Sabarmati Exp,23,
,12439/12440,Sriganganagar,H.S. Nanded,Exp,"9,39,53",,,,,
,,,,,12549/12550,Durg,Martyr Captain Tushar,Exp,"81,32,16",
,12441/12442,Bilaspur,New Delhi,Bilaspur Rajdhani,42,,Mahajan,,,
,12443/12444,Haldia,Anand Vihar (T),Exp,"1,87",12551/12552,SMVT Bengaluru,Kamakhya,Exp,"29,20,87"
,12445/12446,New Delhi,Shri Mata Vaishnodevi,Uttar Sampark,16,12555/12556,Gorakhpur,Bathinda,Gorakhdham Exp,"22,39"
,,,Katra,Kranti,,,,,,
,,,,,12557/12558,Muzaffarpur,Anand Vihar (T),Sapt Kranti,"22,64",
,12447/12448,Manikpur,H. Nizamuddin,Uttar Pradesh,56,,,,,
,,,,,12559/12560,Banaras,New Delhi,Shiv Ganga,25,
,,,,Sampark Kranti,,,,,,
,,,,,12561/12562,Jayanagar,New Delhi,Swatantrata,22,
,12449/12450,Madgaon,Chandigarh,Goa Sampark,"3,26,27",,,,,
,,,,,,,,Sainani,,
,,,,Kranti,,,,,,
,,,,,12565/12566,Darbhanga,New Delhi,Bihar Sampark,22,
,12451/12452,Kanpur Central,New Delhi,Shram Shakti,1,,,,,
,,,,,,,,Kranti,,
,12453/12454,Ranchi,New Delhi,Ranchi Rajdhani,41,,,,,
,,,,,12571/12572,Gorakhpur,Anand Vihar (T),Humsafar,"38,22",
,12455/12456,Delhi Sarai Rohilla,Bikaner,Exp,39,,,,,
,,,,,12577/12578,Darbhanga,Mysuru,Bagmati,"20,17,90",
,12457/12458,Delhi Sarai Rohilla,Bikaner,Exp,59,,,,,
,,,,,12581/12582,Banaras,New Delhi,Exp,25,
,12461/12462,Jodhpur,Sabarmati,Vande Bharat,23,,,,,
,,,,,12583/12584,Lucknow Jn.,Anand Vihar (T),AC Double Decker,25,
,12463/12464,Delhi Sarai Rohilla,Jodhpur,Rajasthan Sampark,23,,,,,
,,,,,12587/12588,Gorakhpur,Jammu Tawi,Amarnath,13,
,,,,Kranti,,,,,,
,,,,,12589/12590,Gorakhpur,Secunderabad,Exp,"9,17,35",
,12465/12466,Indore,Jodhpur,Ranthambhore,"3,28",,,,,
,,,,,12591/12592,Gorakhpur,Yesvantpur,Exp,"9,17,35",
,12467/12468,Jaisalmer,Jaipur,LeeIan,"28,59",,,,,
,,,,,12593/12594,Lucknow Jn.,Bhopal,Exp,35,
,12469/12470,Kanpur Central,Jammu Tawi,Exp,12,,,,,
,,,,,12595/12596,Gorakhpur,Anand Vihar (T),Humsafar,22,
,12471/12472,Bandra (T),Shri Mata Vaishnodevi,Swaraj,"3,16",,,,,
,,,Katra,,12597/12598,Gorakhpur,Chhatrapati Shivaji,Antyodaya,35,
,,,,,,,Maharaj (T),,,
,12473/12474,Gandhi Dham,Shri Mata Vaishnodevi,Sarvodaya,"3,11,16",,,,,
,,,Katra,,12601/12602,MGR Chennai,Mangaluru Central,Mail,86,
,,,,,,Central,,,,
,12475/12476,Hapa,Shri Mata Vaishnodevi,Exp,"3,11,16",,,,,
,,,Katra,,12603/12604,MGR Chennai,Cherapalli,Exp,71,
,,,,,,Central,,,,
,12477/12478,Jamnagar,Shri Mata Vaishnodevi,Sindhu,"3,11,16",,,,,
,,,,,12605/12606,Chennai Egmore,Karaikudi,Pallavan,21,
,,,Katra,,,,,,,
,,,,,12607/12608,MGR Chennai,KSR Bengaluru,Lalbagh,20,
,12479/12480,Jodhpur,Bandra (T),Suryanagari,"11,23",,,,,
,,,,,,Central,,,,
,12481/12482,Delhi,Sri Ganganagar,Intercity,39,,,,,
,,,,,12611/12612,MGR Chennai,H. Nizamuddin,Garib Rath,8,
,12483/12484,Thiruvanthapuram,Amritsar,Exp,"3,15,26",Central,,,,
,,North,,,,,,,,
,,,,,12613/12614,Mysuru,KSR Bengaluru,Wodeyar,20,
,12485/12486,Hazur Sahib Nanded,Sri Ganganagar,Exp,"9,39,53",,,,,
,,,,,12615/12616,Chennai Egmore,New Delhi,Grand Trunk,8,
,12487/12488,Jogbani,Anand Vihar (T),Seemanchal,18,,,,,
,,,,,12617/12618,Ernakulam Jn,H. Nizamuddin,Mangala,"2,26",
,12489/12490,Sri Ganganagar,Dadar (via Bhildil),Exp,"11, 23, 39",,,Lakshadweep,,
,12493/12494,H. Nizamuddin,Miraj,Darshan,4,12619/12620,Lokmanya Tilak,Mangaluru Central,Matsyagandha,26
,12495/12496,Bikaner,Kolkata,Pratap,"28,65",12621/12622,MGR Chennai,New Delhi,Tamil Nadu,8
,12497/12498,New Delhi,Amritsar,Shan-e-Punjab,15,Central,,,,
,12501/12502,KolKata,Agartala,Garib Rath,"14,14A",12623/12624,MGR Chennai,Thiruvananthapuram,Mail,86
,,,,,,Central,,,,
,12503/12504,Sir M Visvesvaraya,Agartala,Humsafar Exp,"29,83",,,,,
,,"Terminal, Bengaluru",,,12625/12626,Thiruvananthapuram,New Delhi,Kerala,"8,86",
,,,,,,Central,,,,
,12505/12506,Kamakhya,Anand Vihar (T),North East,"1,18",,,,,
,,,,,12627/12628,KSR Bengaluru,New Delhi,Karnataka,9,
,12507/12508,Thiruvananthapuram,Silchar,Aronai Exp,"83,86,29",,,,,
,,Central,,,12629/12630,Yesvantpur,H. Nizamuddin,Karnataka Sampark,"9,19",
,,,,,,,,Kranti,,
TAG-26,12509/12510,Guwahati,SMVT Bengaluru,Exp,29,,,,,
